Symbol,Model,MAE,RMSE,MAPE,DirAcc,R2
BTCUSDT,Zero,0.002609612127681166,0.004555792896380781,0.9998057875212292,0.00014271442842871414,-0.0002993353709723756
BTCUSDT,Naive,0.003963980399558311,0.006556857179853078,30.63144554162712,0.46396460682174967,-1.0720178010173629
BTCUSDT,Ridge,0.0026569460660090874,0.004574904336719393,4.119360519605237,0.4896532039389182,-0.008709401200196254
BTCUSDT,Lasso,0.002632568125584529,0.004567574761475895,6.978842575006381,0.5020693592122164,-0.0054798303409311355
BTCUSDT,ElasticNet,0.0025989941766601824,0.004554611659892538,4.243908404266149,0.5220493791922364,0.00021931721850076968
BTCUSDT,KernelRidge,0.002759452239385898,0.004633419145010226,13.573659761777465,0.4956472099329242,-0.03467799229228685
BTCUSDT,SVR,0.0033943262774800307,0.005055687342219761,26.549701853590555,0.4775224775224775,-0.23186311143711058
ETHUSDT,Zero,0.0028350669323847976,0.004850749258108472,0.9988382148507632,0.0011417154274297131,-6.381131517274596e-05
ETHUSDT,Naive,0.004324587253488608,0.006988562136985599,138.15495685141752,0.4581133152561724,-1.0758010248736398
ETHUSDT,Ridge,0.002956850909632051,0.004887402233387031,42.424179062752465,0.4835164835164835,-0.01523416899373653
ETHUSDT,Lasso,0.002903693041066168,0.004865294133139447,32.00332888944811,0.48380191237334097,-0.006070145608684241
ETHUSDT,ElasticNet,0.0028560466393256112,0.004853326764549194,30.1708240201668,0.4942200656486371,-0.0011268865707605435
ETHUSDT,KernelRidge,0.0029693474702993145,0.004909861039280696,52.71177631784826,0.4746681889539032,-0.024586104441136625
ETHUSDT,SVR,0.003545883748095974,0.005264045023087815,113.05315380626563,0.46053946053946054,-0.17773952542011373
SOLUSDT,Zero,0.005947123149695403,0.009369652872191669,0.9641642390278855,0.0358315488936474,-0.00019416784600112535
SOLUSDT,Naive,0.008838418474330166,0.013296955900372512,16692.957833060278,0.4358315488936474,-1.014381720872922
SOLUSDT,Ridge,0.006054773442156462,0.009413225832453144,3198.3213545247763,0.4660956459671663,-0.009518474221934081
SOLUSDT,Lasso,0.0060222761353088405,0.009400993570982445,2699.276344004579,0.47052105638829406,-0.0068964887857276835
SOLUSDT,ElasticNet,0.005983695326473735,0.009381691459753665,1972.1953616260782,0.47865810135617415,-0.002766015622482909
SOLUSDT,KernelRidge,0.006122530152373713,0.009481439517480402,4320.73756367611,0.4779443254817987,-0.024202597806435078
SOLUSDT,SVR,0.006294741508633974,0.009590672103478443,6104.468383953736,0.4716630977872948,-0.04793754720731558
BNBUSDT,Zero,0.002967484903084585,0.004882331175595049,0.9410515404438116,0.058941058941058944,-1.9561883835006455e-05
BNBUSDT,Naive,0.00445517616874177,0.007026579762822784,13420.631745344794,0.420864849436278,-1.0712951432034048
BNBUSDT,Ridge,0.003052896511663985,0.004914311439121105,3639.528141118906,0.46253746253746253,-0.013163131475791845
BNBUSDT,Lasso,0.003031838648886753,0.0049093861747474665,3168.6196370645384,0.4679606108177537,-0.011133306655420006
BNBUSDT,ElasticNet,0.003000402897001397,0.004897719852202202,2415.3852742820777,0.4723847580990438,-0.00633344327918306
BNBUSDT,KernelRidge,0.0030617466640037233,0.004952418053984925,3599.743069782161,0.46382189239332094,-0.028936615059243165
BNBUSDT,SVR,0.003345873949439592,0.00513764294622632,7696.59651583017,0.45668617097188524,-0.10734223053377079
